K,case,Vessel_Dice
0,DRIVE_01,0.8329534460423397
0,DRIVE_02,0.8546407684615618
0,DRIVE_03,0.8067691135382271
0,DRIVE_04,0.8113998323554066
0,DRIVE_05,0.8165190539210696
0,DRIVE_06,0.7920954981446475
0,DRIVE_07,0.806560734334144
0,DRIVE_08,0.810624227890415
0,DRIVE_09,0.8147228483019444
0,DRIVE_10,0.8152019173589462
0,DRIVE_11,0.8141991400616176
0,DRIVE_12,0.8293346184296582
0,DRIVE_13,0.8186885512310067
0,DRIVE_14,0.8292522114979579
0,DRIVE_15,0.8248646181297591
0,DRIVE_16,0.831784964300714
0,DRIVE_17,0.8078358208955224
0,DRIVE_18,0.8171965317919075
0,DRIVE_19,0.8660247495995352
0,DRIVE_20,0.82035575002378
1,DRIVE_01,0.8320042093493596
1,DRIVE_02,0.8545082898024075
1,DRIVE_03,0.8069785531725747
1,DRIVE_04,0.8122043519394513
1,DRIVE_05,0.8170228657760275
1,DRIVE_06,0.7920400448053766
1,DRIVE_07,0.8068246168459895
1,DRIVE_08,0.8101017441860465
1,DRIVE_09,0.8138041733547352
1,DRIVE_10,0.8144315026504634
1,DRIVE_11,0.8131198591883018
1,DRIVE_12,0.8294880170546367
1,DRIVE_13,0.818658930143104
1,DRIVE_14,0.8293076274603233
1,DRIVE_15,0.8250466514617458
1,DRIVE_16,0.8317124380616444
1,DRIVE_17,0.80731579733971
1,DRIVE_18,0.8173050825990194
1,DRIVE_19,0.8657926270529358
1,DRIVE_20,0.8205735684671086
2,DRIVE_01,0.8319591870320086
2,DRIVE_02,0.8540714047784878
2,DRIVE_03,0.8070119724348185
2,DRIVE_04,0.8126704731425246
2,DRIVE_05,0.8170128921576953
2,DRIVE_06,0.7925359822318603
2,DRIVE_07,0.80741146403797
2,DRIVE_08,0.8098516083331819
2,DRIVE_09,0.8135891164781412
2,DRIVE_10,0.8138540633173987
2,DRIVE_11,0.8131072069327375
2,DRIVE_12,0.8296438883541867
2,DRIVE_13,0.8189130541188755
2,DRIVE_14,0.8293442803210791
2,DRIVE_15,0.8250238302457623
2,DRIVE_16,0.8322587144872053
2,DRIVE_17,0.8075436467183269
2,DRIVE_18,0.8179085014670192
2,DRIVE_19,0.8666255397902529
2,DRIVE_20,0.8208103553921569
4,DRIVE_01,0.8327347019474742
4,DRIVE_02,0.8547844788416684
4,DRIVE_03,0.8076654166401831
4,DRIVE_04,0.8141201226259365
4,DRIVE_05,0.8174353569182122
4,DRIVE_06,0.7938806126365
4,DRIVE_07,0.8090852837331198
4,DRIVE_08,0.8099488407532383
4,DRIVE_09,0.8145898978325217
4,DRIVE_10,0.8140240598244283
4,DRIVE_11,0.8131793708306525
